ts,security_id,mark_type,mark
2025-01-01,002007565,CLEAN_PRICE,92.1941
2025-01-01,002133862,CLEAN_PRICE,106.5027
2025-01-01,003801943,CLEAN_PRICE,98.3818
2025-01-01,005811776,CLEAN_PRICE,107.1037
2025-01-01,006671463,CLEAN_PRICE,102.7433
2025-01-01,007431616,CLEAN_PRICE,105.7310
2025-01-01,008318800,CLEAN_PRICE,88.9314
2025-01-01,008958511,CLEAN_PRICE,97.1493
2025-01-01,009718055,CLEAN_PRICE,108.9682
2025-01-01,010890391,CLEAN_PRICE,105.8492
2025-01-01,011514827,CLEAN_PRICE,96.0618
2025-01-01,012322624,CLEAN_PRICE,97.6796
2025-01-01,013892639,CLEAN_PRICE,105.3973
2025-01-01,015987867,CLEAN_PRICE,104.9163
2025-01-01,016086829,CLEAN_PRICE,97.3860
2025-01-01,017501206,CLEAN_PRICE,108.5189
2025-01-01,017673103,CLEAN_PRICE,91.9458
2025-01-01,018646815,CLEAN_PRICE,96.4425
2025-01-01,020226279,CLEAN_PRICE,89.5203
2025-01-01,021955076,CLEAN_PRICE,97.8697
2025-01-01,023940246,CLEAN_PRICE,92.1751
2025-01-01,025016525,CLEAN_PRICE,100.2776
2025-01-01,026424848,CLEAN_PRICE,107.2523
2025-01-01,026558232,CLEAN_PRICE,103.8007
2025-01-01,029344093,CLEAN_PRICE,108.8037
2025-01-01,029846844,CLEAN_PRICE,92.4931
2025-01-01,029915786,CLEAN_PRICE,106.6745
2025-01-01,033146781,CLEAN_PRICE,94.8521
2025-01-01,036307574,CLEAN_PRICE,92.4469
2025-01-01,037138177,CLEAN_PRICE,109.4305
2025-01-01,038112493,CLEAN_PRICE,93.5368
2025-01-01,038882189,CLEAN_PRICE,99.9699
2025-01-01,039274499,CLEAN_PRICE,91.2143
2025-01-01,039319173,CLEAN_PRICE,100.3972
2025-01-01,041583061,CLEAN_PRICE,96.2696
2025-01-01,041666571,CLEAN_PRICE,95.7882
2025-01-01,044724810,CLEAN_PRICE,106.7600
2025-01-01,045227746,CLEAN_PRICE,96.6668
2025-01-01,046057654,CLEAN_PRICE,104.0738
2025-01-01,046436330,CLEAN_PRICE,92.9049
2025-01-01,049457711,CLEAN_PRICE,94.4117
2025-01-01,049902298,CLEAN_PRICE,109.1907
2025-01-01,050288400,CLEAN_PRICE,93.4301
2025-01-01,051127721,CLEAN_PRICE,106.6244
2025-01-01,051369931,CLEAN_PRICE,108.5649
2025-01-01,051841154,CLEAN_PRICE,107.8999
2025-01-01,051929549,CLEAN_PRICE,98.7043
2025-01-01,053323099,CLEAN_PRICE,100.6341
2025-01-01,053439112,CLEAN_PRICE,91.9526
2025-01-01,055513512,CLEAN_PRICE,104.3738
2025-01-01,056105767,CLEAN_PRICE,93.0750
2025-01-01,056409181,CLEAN_PRICE,93.3362
2025-01-01,058134266,CLEAN_PRICE,111.3568
2025-01-01,058373753,CLEAN_PRICE,91.8706
2025-01-01,059209133,CLEAN_PRICE,103.0129
2025-01-01,060265395,CLEAN_PRICE,98.7723
2025-01-01,061403237,CLEAN_PRICE,95.1444
2025-01-01,062438707,CLEAN_PRICE,103.7186
2025-01-01,065671371,CLEAN_PRICE,92.0048
2025-01-01,066178619,CLEAN_PRICE,89.9699
2025-01-01,067117540,CLEAN_PRICE,99.7255
2025-01-01,067712977,CLEAN_PRICE,110.6358
2025-01-01,072315571,CLEAN_PRICE,95.5553
2025-01-01,073988827,CLEAN_PRICE,108.7034
2025-01-01,075277910,CLEAN_PRICE,103.7968
2025-01-01,076132062,CLEAN_PRICE,100.5480
2025-01-01,076690676,CLEAN_PRICE,101.2675
2025-01-01,077096602,CLEAN_PRICE,105.7810
2025-01-01,077932049,CLEAN_PRICE,94.0644
2025-01-01,080161205,CLEAN_PRICE,99.4119
2025-01-01,080689436,CLEAN_PRICE,100.1863
2025-01-01,081121600,CLEAN_PRICE,110.4136
2025-01-01,081492387,CLEAN_PRICE,95.7607
2025-01-01,081878752,CLEAN_PRICE,105.8441
2025-01-01,083246081,CLEAN_PRICE,90.7109
2025-01-01,086291422,CLEAN_PRICE,103.7003
2025-01-01,086638831,CLEAN_PRICE,90.8620
2025-01-01,086666246,CLEAN_PRICE,106.5332
2025-01-01,086875935,CLEAN_PRICE,93.0883
2025-01-01,087096813,CLEAN_PRICE,101.1599
2025-01-01,088944878,CLEAN_PRICE,109.0730
2025-01-01,089614356,CLEAN_PRICE,102.2792
2025-01-01,090470547,CLEAN_PRICE,100.3689
